method,n,lex_thr,sem_thr,overall_hit_rate,auc_lexical_recall,auc_bm25_to_gold,auc_semantic_cosine
shared_vector_20260107_164341_scored,150,0.2594670355319977,0.47230979800224304,34.0,0.5857595563477916,0.6213111507229154,0.6629035452564865
expanded_shared_20260114_172936_scored,150,0.2594670355319977,0.47230979800224304,0.0,,,
hyde_shared_20260114_202108_scored,150,0.2594670355319977,0.47230979800224304,0.0,,,
